,MDD,MSE,RMSE,Sharpe Ratio,annual returns,feature,label,level,method,model,name,validation length
30,-0.1998014760344542,0.00039454776358680764,0.017001022005544444,1.0977440897600084,0.13268955964661622,LR,C_SVR_LR_6M_2,stock,worst,SVR,SVR LR stock validation=6M,6M
31,-0.20400720704814077,0.0003944409970728861,0.016997121640994185,1.031062550119949,0.12352065719805805,LR,C_SVR_LR_6M_2,stock,running,SVR,SVR LR stock validation=6M,6M
32,-0.10727279610458319,0.0009709495553575476,0.028665464183805174,0.5852956223253288,0.05439457838691375,TI,C_SVR_TI_1Y,stock,baseline,SVR,SVR TI stock validation=1Y,1Y
33,-0.1626520085156943,0.0009385369327563237,0.028052410876235393,0.2511752763802604,0.020314770506637547,TI,C_SVR_TI_1Y,stock,best,SVR,SVR TI stock validation=1Y,1Y
34,-0.09843932235730879,0.0009686810680702194,0.028600377016744005,0.6203462514184999,0.057619450769243574,TI,C_SVR_TI_1Y,stock,worst,SVR,SVR TI stock validation=1Y,1Y
35,-0.1445550512222215,0.000944162682567825,0.028169742107019273,0.0935058896338508,0.004382555668346999,TI,C_SVR_TI_1Y,stock,running,SVR,SVR TI stock validation=1Y,1Y
36,-0.2040487443832102,0.0008729440490670663,0.027078348326709672,0.3130189558889501,0.025070407403429584,TI,C_SVR_TI_1Y_2,stock,baseline,SVR,SVR TI stock validation=1Y,1Y
37,-0.23325794006180936,0.0008422607634377482,0.026490737926942388,0.009354912291195448,-0.0035092968813085212,TI,C_SVR_TI_1Y_2,stock,best,SVR,SVR TI stock validation=1Y,1Y
38,-0.20411071037309464,0.0008697414655732667,0.026991390476098345,0.2982248297065319,0.023524467039225616,TI,C_SVR_TI_1Y_2,stock,worst,SVR,SVR TI stock validation=1Y,1Y
39,-0.32411718455016847,0.0008466625517427903,0.026561827865202094,-0.20775229232787892,-0.022783419400233318,TI,C_SVR_TI_1Y_2,stock,running,SVR,SVR TI stock validation=1Y,1Y
40,-0.20263249352195667,0.0010038607483647485,0.0289489738651262,0.19680170281417156,0.01592810687399715,TI,C_SVR_TI_6M,stock,baseline,SVR,SVR TI stock validation=6M,6M
41,-0.25012300037530577,0.0009718107640890172,0.028351209973788895,0.14833422276539449,0.01015577781231869,TI,C_SVR_TI_6M,stock,best,SVR,SVR TI stock validation=6M,6M
42,-0.18965359739773402,0.0009944207550145836,0.028747284001564708,0.3770867192737212,0.03632720476438256,TI,C_SVR_TI_6M,stock,worst,SVR,SVR TI stock validation=6M,6M
43,-0.32781729535730647,0.0009763130698529504,0.02848081967157725,0.02425629448289915,-0.002935898155754346,TI,C_SVR_TI_6M,stock,running,SVR,SVR TI stock validation=6M,6M
44,-0.21945648352692884,0.00047329121347763144,0.019052722269065733,0.5760264685774412,0.060277410679080656,TI,C_LGB_TI_6M,stock,baseline,LGB,LGB TI stock validation=6M,6M
45,-0.26498868992867697,0.00047812888242564647,0.019169889174184353,0.7892847026910095,0.08328979939988357,TI,C_LGB_TI_6M,stock,best,LGB,LGB TI stock validation=6M,6M
46,-0.20775325134902245,0.0004723135547008537,0.019033362171197638,0.799986792918834,0.08448931130604653,TI,C_LGB_TI_6M,stock,worst,LGB,LGB TI stock validation=6M,6M
47,-0.21507085863314962,0.0004778422373316292,0.019159886456674987,0.5495701135775336,0.054831921088408286,TI,C_LGB_TI_6M,stock,running,LGB,LGB TI stock validation=6M,6M
48,-0.1655630821040426,0.0004563406941649038,0.01884881235140565,0.7171771972338673,0.06597493814922939,LR,C_LGB_CR_1Y,stock,baseline,LGB,LGB LR stock validation=1Y,1Y
49,-0.17879210207221985,0.00045426204760081064,0.018797578516469356,0.6420074422147889,0.05819919273085139,LR,C_LGB_CR_1Y,stock,best,LGB,LGB LR stock validation=1Y,1Y
50,-0.1655630821040428,0.00045633512316722993,0.018848568891265172,0.7122949314882432,0.06537936823558099,LR,C_LGB_CR_1Y,stock,worst,LGB,LGB LR stock validation=1Y,1Y
51,-0.19660427386789792,0.000455217293883564,0.018821000942404402,0.7343049346210806,0.06773283498037275,LR,C_LGB_CR_1Y,stock,running,LGB,LGB LR stock validation=1Y,1Y
52,-0.14327970840742335,0.0004159034325797041,0.017658354979611282,0.5996150032358257,0.05684628154890192,LR,C_LGB_CR_6M,stock,baseline,LGB,LGB LR stock validation=6M,6M
53,-0.1864110294326743,0.0004138077385850279,0.017600345621411898,0.4992673877391098,0.04678218603296669,LR,C_LGB_CR_6M,stock,best,LGB,LGB LR stock validation=6M,6M
54,-0.15574276435900272,0.00041596977982735897,0.017659278347976544,0.5674148084719255,0.05387925272929239,LR,C_LGB_CR_6M,stock,worst,LGB,LGB LR stock validation=6M,6M
55,-0.17719933612723854,0.00041456366580985214,0.017621151667599786,0.4787331650061264,0.04430050526826612,LR,C_LGB_CR_6M,stock,running,LGB,LGB LR stock validation=6M,6M
56,-0.1687349259961762,0.00045091512306429365,0.019198794676847267,0.6222338172164928,0.07764134923771038,LR,S_LGB_CR_1Y_2,sector,baseline,LGB,LGB LR sector validation=1Y,1Y
57,-0.39921940191156685,0.0004503815816378114,0.01919126728731095,0.19579148818598618,0.01711098834535907,LR,S_LGB_CR_1Y_2,sector,best,LGB,LGB LR sector validation=1Y,1Y
58,-0.2940470834761356,0.000450882918774368,0.019199750825208736,0.4187114995032503,0.04634506653765924,LR,S_LGB_CR_1Y_2,sector,worst,LGB,LGB LR sector validation=1Y,1Y
59,-0.3337239529558984,0.0004511947412436529,0.01920191015105556,0.4999266683474597,0.05653862489118944,LR,S_LGB_CR_1Y_2,sector,running,LGB,LGB LR sector validation=1Y,1Y
60,-0.3529473807034379,0.0004111134281508577,0.018064799026584075,0.7935185628065824,0.10406870149016068,LR,S_LGB_CR_6M_2,sector,baseline,LGB,LGB LR sector validation=6M,6M
61,-0.30390033964117896,0.00041051851829083334,0.01805937513343046,0.47026705102365285,0.055899230106690734,LR,S_LGB_CR_6M_2,sector,best,LGB,LGB LR sector validation=6M,6M
62,-0.2865399660527678,0.00041065491896592846,0.01805999397426455,0.7447439267687442,0.09720900387086773,LR,S_LGB_CR_6M_2,sector,worst,LGB,LGB LR sector validation=6M,6M
63,-0.2865399660527688,0.00041066820896312663,0.018061387410554998,0.6486383356268302,0.08365946205287367,LR,S_LGB_CR_6M_2,sector,running,LGB,LGB LR sector validation=6M,6M
64,-0.48944417547376345,0.00044103925529383637,0.019073010272220872,0.3392300188210473,0.038849077984156155,TI,S_LGB_TI_1Y,sector,baseline,LGB,LGB TI sector validation=1Y,1Y
65,-0.30175535777219303,0.00043982373739048325,0.019042275643919526,0.4237849172433954,0.051133624998562555,TI,S_LGB_TI_1Y,sector,best,LGB,LGB TI sector validation=1Y,1Y
66,-0.39018199836953144,0.0004405136494934549,0.01905773248736356,0.7913328270908924,0.11716161175354567,TI,S_LGB_TI_1Y,sector,worst,LGB,LGB TI sector validation=1Y,1Y
67,-0.39018199836953127,0.00044075800233120345,0.019067500087557407,0.6005844811534147,0.08436076824292771,TI,S_LGB_TI_1Y,sector,running,LGB,LGB TI sector validation=1Y,1Y
68,-0.37223246537795834,0.0004012480953151328,0.017939484941658052,0.19719464812747836,0.017930901421609136,TI,S_LGB_TI_6M,sector,baseline,LGB,LGB TI sector validation=6M,6M
69,-0.35245995366185784,0.0003997390711950107,0.017902042720425285,0.4576416627625808,0.05478896968126579,TI,S_LGB_TI_6M,sector,best,LGB,LGB TI sector validation=6M,6M
70,-0.28721452612828496,0.00040108554790834193,0.01793266834146856,0.58485679091513,0.0763567956422937,TI,S_LGB_TI_6M,sector,worst,LGB,LGB TI sector validation=6M,6M
71,-0.28721452612828474,0.00040113978916949577,0.01793390726989542,0.4964095684167299,0.06277100831580595,TI,S_LGB_TI_6M,sector,running,LGB,LGB TI sector validation=6M,6M
72,-0.2981543425646641,0.00043313491451304326,0.018853816119386586,0.4897133513535736,0.06559703935408123,TI,S_LGB_TI_1Y_2,sector,baseline,LGB,LGB TI sector validation=1Y,1Y
73,-0.3040638439818359,0.00043283278110819393,0.018846240423722585,0.5932095352264768,0.08290334370958541,TI,S_LGB_TI_1Y_2,sector,best,LGB,LGB TI sector validation=1Y,1Y
74,-0.3314856308879058,0.0004329744945538745,0.018847027404676045,0.5190206530940373,0.06958021276114956,TI,S_LGB_TI_1Y_2,sector,worst,LGB,LGB TI sector validation=1Y,1Y
75,-0.29815434256466417,0.0004331362288688665,0.018853970469491017,0.47641955000693575,0.06351945494777267,TI,S_LGB_TI_1Y_2,sector,running,LGB,LGB TI sector validation=1Y,1Y
76,-0.43871961764775724,0.0004254461931428598,0.018663998070890295,0.37787570878096205,0.04743836381315525,TI,S_LGB_TI_1Y_3,sector,baseline,LGB,LGB TI sector validation=1Y,1Y
77,-0.5373102713710165,0.0004265769888372147,0.018687989599103207,-0.019175920270455275,-0.012330795502205616,TI,S_LGB_TI_1Y_3,sector,best,LGB,LGB TI sector validation=1Y,1Y
78,-0.3864899393889157,0.0004257249000051513,0.018667308874348133,0.1793797903299273,0.015868741655547414,TI,S_LGB_TI_1Y_3,sector,worst,LGB,LGB TI sector validation=1Y,1Y
79,-0.37793175668648255,0.00042553156029116854,0.01866582706830104,0.549270014505056,0.0748066267253844,TI,S_LGB_TI_1Y_3,sector,running,LGB,LGB TI sector validation=1Y,1Y
80,-0.3079838210661936,0.0004307660079980729,0.018736607618999777,0.34452884539059375,0.041588270611064626,LR,S_RF_CR_1Y,sector,baseline,RF,RF LR sector validation=1Y,1Y
81,-0.3338331016884039,0.00042985968043388604,0.018723961499509483,0.4190167754743127,0.05328207597049861,LR,S_RF_CR_1Y,sector,best,RF,RF LR sector validation=1Y,1Y
82,-0.21036306366420846,0.00043083496084411776,0.018738184249113755,0.6902400583210654,0.09917983317149037,LR,S_RF_CR_1Y,sector,worst,RF,RF LR sector validation=1Y,1Y
